CountryID,Country,HDI_2018,Mean_Schooling_2018,Know_abt_Sci_Q1,Understand_Sci_Q2,Disease_Sci_Q3,Poetry_Sci_Q4,LearnSci_Prim_Q5A,LearnSci_Sec_Q5B,LearnSci_Uni_Q5C,Sci_try_Inform_Q6,Health_try_knowMore_Q7,Sci_want_knowMore_Q8,Health_want_knowMore_Q9,Conf_NGOs_Q10A,Conf_Hosp_10B,Trust_Ppl_Q11A,Trust_Govt_Q11B,Trust_Scientists_Q11C,Trust_Journos_Q11D,Trust_Doctors_Q11E,Trust_NGOs_Q11F,Trust_Healers_Q11G,Trust_Science_Q12,Trust_Sci_Accuracy_Q13,Trust_UniScientists_Benefit_Q14A,Trust_UniScientists_Open_Q14B,Trust_CompnyScientists_benef_Q15A,TrustCompnyScientists_Open_Q15B,Scientists_benef_Q16,Scientists_benefYou_Q17,SciTech_improv_Q18,SciTech_Jobs_Q19,Trust_who_Q20,Trust_med_country_Q21,Trust_NursDocs_country_.Q22,Vaccn_Knowledge_Heard_Vaccn_Q23,Vaccn_Knowledge_Child_Q24,Vaccn_RiskPercep_Q25,Vaccn_Knowlege_Effktv_Q26,Have_Child_Q27,Accept_Vaccn_4Child_Q28,Religion_D1,SciRelig_disag_Q29,Sci_Relig_choose_Q30,WGM_Index,WGM_Indexr,ViewOfScience,Age,AgeCategories,Gender,Education,Urban_Rural,Household_Income,Regions_Report,Subjective_Income,WBI,EMP_2010
62,Mauritania,0.52,4.5,2.63457330415755,2.63726571113561,1.14609571788413,1.72540381791483,1.73908045977012,1.7029702970297,1.25412541254125,1.25865800865801,1.29220779220779,1.73956043956044,1.76089266737513,1.45586297760211,1.47078280044101,2.13186813186813,2.87234042553191,2.54557463672391,2.84769038701623,2.27927927927928,2.58035714285714,2.80210772833724,2.27226463104326,2.41818181818182,2.74842767295597,2.74474959612278,2.76582278481013,2.82258064516129,2.17107093184979,1.48982558139535,1.73809523809524,1.59125188536953,2.96596244131455,2.57575757575758,2.48324022346369,1.88853503184713,1.21739130434783,1.60666666666667,1.36158940397351,1.543,1.93292682926829,2,1.23230769230769,1.9136690647482,2.35308457711493,1.47611940298507,2.51764705882353,34.75,1.73991935483871,1.439,1.63168940188877,1.33,NA,5,2.29200463499421,2,4.251
63,Mozambique,0.437,3.5,2.78532901833873,2.50511247443763,1.11336898395722,1.39106145251397,1.84,1.68742655699177,1.18456883509834,1.39616935483871,1.4728370221328,1.92719919110212,1.93850806451613,1.63722025912839,1.77130528586839,2.1129363449692,1.71443624868282,2.13381123058542,1.82142857142857,1.6670113753878,2.13140311804009,2.78361344537815,1.81389578163772,1.98096446700508,1.89567430025445,2.03604806408545,1.78684531059683,1.84813384813385,1.7784222737819,1.7448869752422,1.91803278688525,1.24018475750577,2.63241525423729,1.68166089965398,1.68546365914787,1.93360160965795,1.15817984832069,1.3715545755237,1.6021897810219,1.733,1.95168374816984,1.96780893042575,1.36763005780347,1.68600682593857,3.04077927376499,2.09424724602203,1.94761904761905,33.924,1.63608870967742,1.417,1.44399596367306,1.15,3.215,1,2.69852941176471,1,4.267
64,Niger,0.354,6.2,3.03905160390516,3.10578105781058,1.24671916010499,1.30689206762029,1.26153846153846,1.21712907117008,1.0968137254902,1.27404921700224,1.46195652173913,1.86140724946695,1.90928050052138,1.81389578163772,1.85103926096998,1.53787047200878,1.81722933643772,1.78461538461538,1.79559363525092,1.63810597519729,1.81009615384615,1.99086757990868,1.76337693222354,1.78740157480315,1.7675,1.80205655526992,1.7,1.75796178343949,1.80281690140845,1.74635922330097,1.85521472392638,1.2,2.66805555555556,1.69239766081871,1.61529680365297,1.74279835390946,1.29971590909091,1.44165435745938,1.32225433526012,1.762,1.70138888888889,2,1.15184678522572,1.94339622641509,3.23691511387329,2.28198757763975,1.93243243243243,37.953,1.7465825446898,1.435,1.12618296529968,1.123,NA,5,2.6021164021164,1,4.241
65,Rwanda,0.524,4.1,3.26699629171817,3.01323042998897,1.07772020725389,1.50496453900709,1.62196531791908,1.31193838254172,1.05524079320113,1.19914346895075,1.4958932238193,1.78807241746539,1.92871690427699,1.89406286379511,1.97289156626506,1.93655589123867,1.18806875631951,1.95838926174497,1.57174151150055,1.35010060362173,1.83468208092486,3.12788259958071,1.97020725388601,1.95496688741722,1.78208556149733,1.88386123680241,1.86137281292059,1.95612708018154,1.60024009603842,1.87545787545788,1.95909090909091,1.28299643281807,2.730110775428,1.30173292558614,1.34514170040486,1.84677419354839,1.0715137067938,1.19926199261993,1.13053892215569,1.69,1.99832775919732,1.99798590130916,1.26954177897574,1.87234042553191,3.12002192982368,2.12631578947368,1.63449163449163,36.662,1.82,1.606,1.235,1.09,3.166,1,2.37474747474747,1,3.073
66,Senegal,0.505,3,2.78807241746539,2.79639448568399,1.07657657657658,1.4820322180917,1.76410256410256,1.67755681818182,1.15934065934066,1.29477993858751,1.35264227642276,1.81204569055036,1.84114052953157,1.55479452054795,1.82359081419624,1.89521871820956,2.39789473684211,2.05505617977528,2.36853448275862,1.75386199794027,2.33160621761658,2.38238341968912,2.01459034792368,2.1357733175915,2.16519546027743,2.33,2.19148936170213,2.33,1.86627906976744,1.72673031026253,1.87741203178207,1.50123456790123,3.05480868665977,2.03128491620112,1.86702702702703,1.87692307692308,1.20872641509434,1.80440097799511,1.60121951219512,1.582,1.932,1.99899497487437,1.26896551724138,1.93010752688172,2.83564535585645,1.87816646562123,2.03626943005181,33.953,1.65991902834008,1.442,1.47843530591775,1.35,3.265,5,2.29374337221633,1,4.224
67,Zambia,0.588,7,2.54591836734694,2.09815950920245,1.09725158562368,1.68661971830986,1.91182572614108,1.79314285714286,1.29439252336449,1.36299292214358,1.53791708796764,1.90224032586558,1.94678714859438,1.64894795127353,1.82161060142712,2.11663286004057,2.19937369519833,2.20391705069124,2.03965702036442,1.6849593495935,2.16371681415929,3.4097510373444,2.12780269058296,2.19686800894855,2.15770609318996,2.33545108005083,2.08881199538639,2.31617647058824,1.85092491838955,1.76190476190476,1.88583973655324,1.33071748878924,2.88426395939086,1.85458377239199,1.7360248447205,1.79737903225806,1.2140127388535,1.56939040207523,1.63947368421053,1.581,1.97325102880658,1.99596774193548,1.51061452513966,1.92874109263658,2.80114747930813,1.84537246049661,1.97300337457818,31.185,1.52016129032258,1.492,1.81544633901705,1.13,3.357,1,2.36683937823834,2,3.942
68,South Korea,0.903,12.1,2.56577645895153,1.96796796796797,1.06896551724138,1.74300518134715,1.87835051546392,1.95331161780673,1.48621190130624,1.33399800598205,1.66402378592666,1.626,1.83695652173913,1.3530701754386,1.7520920502092,2.08282828282828,2.35110663983903,2.00204918032787,2.85872855701312,1.93731343283582,2.37903225806452,2.22662601626016,1.80889787664307,1.84802431610942,2.24229979466119,2.43842887473461,2.31627430910952,2.40488841657811,1.73040752351097,1.77239958805355,1.96363636363636,1.99357601713062,2.84315906562848,1.96582914572864,1.78869047619048,1.88654618473896,1.87529691211401,2.32269938650307,2.00119760479042,1.49112426035503,1.96332046332046,1.50694444444444,1.69585253456221,1.49668874172185,2.83515519568421,1.85425101214575,1.87473002159827,50.4674556213018,2.37845849802372,1.43293885601578,2.25,1.79940711462451,2.96646942800789,10,2.10901883052527,4,3.27317554240631
69,Taiwan,NA,NA,2.62639593908629,2.54276985743381,1.05729166666667,1.79462365591398,1.68562564632885,1.8077731092437,1.46505376344086,1.41540020263425,1.67867867867868,1.48073022312373,1.7635814889336,1.5081351689612,1.90225563909774,2.01793248945148,2.79915433403806,2.07116104868914,2.99036402569593,1.73689619732785,2.41089670828604,2.35871964679912,1.92882147024504,1.98892580287929,2.23170731707317,2.3015494636472,2.32998885172798,2.34519572953737,1.85287846481876,1.72877618522602,1.89862724392819,1.68640350877193,2.83162217659138,2.0514165792235,1.71776649746193,1.9939879759519,1.63590263691684,2.44410256410256,2.04183673469388,1.602,1.91016949152542,1.64894684052156,1.21880064829822,1.33980582524272,2.81233956729703,1.86138613861386,2.05239179954442,45.311,2.23393574297189,1.577,2.33733733733734,1.634,3.258,10,1.98697394789579,4,3.04
70,Afghanistan,0.498,3.8,2.79731127197518,2.72765072765073,1.0875,1.8681875792142,1.72504708097928,1.91745283018868,2,1.101,1.357,1.70253807106599,1.89368104312939,1.67860798362334,1.765,1.534,2.665,2.192037470726,2.11375387797311,1.94088176352705,2.359918200409,3.5261569416499,2.05377574370709,2.11085180863477,1.99579831932773,2.09230769230769,2.35941644562334,2.42700156985871,2.10070257611241,1.58697972251868,1.84486607142857,1.39240506329114,2.467,1.82595573440644,2.01901901901902,1.993,1.202416918429,1.37993920972644,1.28008088978766,1.9402560455192,1.97380585516179,2,1.09051724137931,2,2.86474966170365,1.95128552097429,2.46618357487923,31.592,1.565,1.5,1.349,1.2,3.239,12,2.88765182186235,1,4.196
71,Belarus,0.808,12.3,2.16950757575758,1.62121212121212,1.04682926829268,1.77909482758621,1.89217557251908,1.93434823977165,1.87359198998748,1.29951690821256,1.43432406519655,1.5467706013363,1.63589211618257,1.64795321637427,1.78168264110756,2.22324159021407,2.42336548767417,1.9918946301925,2.59163987138264,2.04326450344149,2.19599109131403,2.81075027995521,1.92935323383085,1.98092369477912,2.04646251319958,2.11220715166461,2.13771186440678,2.16206482593037,1.52755905511811,1.83041575492341,1.89616935483871,2.10282485875706,2.72384937238494,2.27669345579793,1.98798798798799,1.95942028985507,1.95600858369099,2.52747252747253,2.29481641468682,1.76060320452403,1.97071129707113,1.93162393162393,1.57767722473605,1.35964912280702,2.94884117246012,1.94989775051125,1.63677130044843,47.9349670122526,2.30377358490566,1.56456173421301,2.27547169811321,1.54759660697455,3.16116870876532,14,2.07128514056225,3,2.96135721017908
