Country;BCG_vacc_rates;Mean_Schooling_2018;HDI_2018;Countnum;SCI_KNOWLEDGE;TRUST_GOV;TRUS_SCIENTISTS; TRUST_SCI_ACCURACY;TRUST_SCI;VACCINE_KNOWLEDGE; ATTITUDE_VACC_IMP;ATTITUDE_VACC_EFF;ATTITUDE_VACC_SAFE;CHILDREN_VACC;RELIGION;SCIENCE_CONF_REL;BELIEVE_SCIENCE;WGM_Index;WGM_Indexr;ViewOfScience;Age;Gender;EDUC_LVL;INCOME_HOUSE;CHILD_ALIVE
El Salvador;81;6,9;0,674;116;0,956399437;1,032998565;1,276176024;1,834067548;1,812772134;0,944055944;3,825633383;3,436641221;3,315068493;0,893939394;0,925764192;0,415282392;6,077868852;2,5625;1,610465116;2,763803681;47,49861496;0,343490305;0,483379501;3,159279778;0,995844875
Estonia;92;12,7;0,871;119;1,659400545;1,609970674;2,224919094;2,160060976;2,196992481;0,969655172;3,372262774;2,989409985;2,66318927;0,959004392;0,572433193;0,585616438;23,17177914;3,089147287;2,14057508;1,685612789;55,89333333;0,372;1,122666667;2,884;1
Eswatini;92;6,5;0,588;183;1,001512859;1,816901408;1,876325088;2,105621806;2,066895369;0,915680473;3,862236629;3,368159204;3,317567568;0,971760797;1;0,386363636;12,99082569;2,884057971;1,895008606;2,047101449;42,62094395;0,365781711;0,558035714;3,144542773;0,986725664
Ethiopia;82;2,7;0,463;60;1,083969466;2,557939914;2,07480315;2,106951872;2,203448276;0,980501393;3,951704545;3,859799714;3,809728183;0,974395448;1;0,177570093;4,324561404;3,110576923;2,025688073;1,866782007;35,71012483;0,420249653;0,281553398;3,07073509;0,998613037
Finland;;12,4;0,92;121;1,749391727;1,687041565;2,580200501;2,495652174;2,56043956;0,99756691;3,798041616;3,281173594;3,148102815;0,99017199;0,827838828;0,623548922;15,15555556;3,26984127;2,267726161;1,57;61,10340633;0,452554745;0,987804878;3,183698297;0,99756691
France;;11,5;0,901;13;1,81972265;1,411111111;2,460443038;2,403755869;2,42194745;0,981481481;3,23659306;2,843601896;2,322222222;0,954323002;0,7728;0,556792873;19,00403226;3,117647059;2,156346749;1,831746032;54,20647149;0,432973806;1,319938176;3,164869029;0,99229584
Gabon;69;8,2;0,702;122;1,389570552;0,870646766;1,360205832;1,784893268;1,786858974;0,974588939;3,700920245;3,24256651;2,756329114;0,979876161;0,978090767;0,544090056;14,42960289;2,496688742;1,542288557;2,519503546;38,50523169;0,455904335;0,730232558;3,272047833;0,994020927
Gambia;94;3,5;0,46;186;0,690225564;2,356495468;2,246575342;2,278582931;2,368167203;0,896067416;3,887096774;3,791803279;3,725040917;0,955555556;1;0,259927798;0,034722222;3,479591837;2,275409836;1,540955631;39,79247911;0,36908078;0,302228412;3,206128134;0,995821727
Georgia;97;12,8;0,78;72;1,421957672;1,16194332;1,877165354;1,871301775;1,924746744;0,881422925;3,672782875;3,4;3,172143975;0,915470494;1;0,479591837;20,6350365;2,807228916;1,814264487;2,637931034;54,12467532;0,325974026;1,272727273;3,01038961;0,992207792
Germany;;14,1;0,936;14;1,817507418;1,478129713;2,429675425;2,341463415;2,488023952;0,96;3,540123457;3,403100775;2,948678072;0,967032967;0,724924012;0,659292035;22,22996516;3,030487805;2,130434783;1,752039152;56,54222222;0,471111111;1,28041543;3,223703704;0,998518519
Ghana;98;7,1;0,592;40;1,24838013;1,81663113;2,013986014;2,037647059;2,025700935;0,79787234;3,811827957;3,639566396;3,567204301;0,933518006;0,997876858;0,37913486;4,644295302;3,130718954;2,058685446;1,827664399;38,07112971;0,491631799;0,723628692;3,006276151;0,983263598
Greece;;10,8;0,87;24;1,13740458;0,625194401;2,0984375;2;2,095934959;0,980182927;3,728971963;3,398734177;3,282747604;0,988976378;0,986217458;0,843687375;35,65217391;2,840182648;1,865546218;1,632653061;57,74658574;0,417298938;0,82674772;3,13353566;0,990895296
Guatemala;88;6,5;0,65;124;0,99690881;1,179604262;1,45409015;1,843137255;1,843393148;0,880706922;3,855462185;3,519930676;3,512110727;0,865646259;0,957480315;0,483535529;3,378277154;2,445054945;1,676375405;2,449399657;40,53235294;0,394117647;0,440652819;3,019117647;0,997058824
Guinea;91;2,6;0,459;125;1,14548495;1,731164384;2,054151625;2,195167286;2,280405405;0,87037037;3,725454545;3,623161765;3,311111111;0,922800718;0,990811639;0,252115059;3,510344828;3,243478261;2,050632911;2,164750958;43,07819549;0,515789474;0,442040185;3,290225564;0,998496241
Haiti;76;5,3;0,498;128;1,137809187;1,330960854;1,717054264;1,928301887;1,897058824;0,836805556;3,912863071;3,599156118;3,283898305;0,966666667;0,979238754;0,345528455;7,425;2,88;1,863117871;2,647302905;41,97619048;0,469387755;0,542955326;3,173469388;1
Honduras;93;6,5;0,617;129;0,955587393;1,263610315;1,528391167;1,925644917;1,84592145;0,931849791;3,916167665;3,638591118;3,610942249;0,804043546;0,950073421;0,451298701;2,948717949;2,666666667;1,740061162;2,618524333;43,08321775;0,39667129;0,406944444;3,074895978;0,995839112
Hungary;99;11,9;0,838;20;1,627756161;1,510176391;2,219008264;2,072108844;2,245614035;0,971502591;3,820855615;3,580514208;3,470189702;0,994459834;0,859481583;0,296226415;38,11688312;3,041284404;2,024590164;1,889060092;59,47876448;0,36036036;0,974160207;3,072072072;0,992277992
Iceland;;12,4;0,935;130;1,614814815;1,672413793;2,546365915;2,411764706;2,517676768;0,970588235;3,863636364;3,706329114;2,702564103;0,992268041;0,859693878;0,521035599;12,3;3,318181818;2,335839599;1,464935065;54,46323529;0,473039216;1,173267327;3,117647059;1
India;98;6,4;0,64;31;1,125551741;2,132290185;2,277777778;2,099418297;2,069230769;0,923004695;3,855612245;3,824806202;3,821171634;0,924858466;1;0,180695847;12,20979021;3,122222222;2,04921466;1,91277081;42,44135373;0,538247566;0,360891779;2,996754752;0,99119147
Indonesia;89;8,0;0,694;10;1,149377593;1,970170455;1,792109256;1,848765432;1,982326951;0,715789474;3,710037175;3,127659574;3,493383743;0,912639405;1;0,209677419;1,337662338;2,784482759;1,819466248;1,927672956;42,58279846;0,401797176;0,678663239;3,216944801;0,998716303
Iran;99;9,8;0,798;26;1,568288854;1,890202703;2,499115044;2,464627151;2,378119002;0,979969183;3,837539432;3,541864139;3,259380098;0,996774194;1;0,2247557;18,61654135;3,27480916;2,199612403;2,012612613;46,13824885;0,465437788;0,970814132;3,204301075;0,967741935
Iraq;95;6,8;0,685;131;1,389221557;0,891783567;1,904051173;2,203389831;2,15720524;0,920477137;3,859611231;3,648471616;3,636956522;0,919739696;1;0,520518359;7,071129707;2,904347826;1,953389831;2,182819383;41,50992063;0,492063492;0,55952381;3,117063492;1
Ireland;0;12,5;0,938;132;1,660030628;1,768273717;2,509404389;2,574074074;2,519319938;0,961479199;3,682182986;3,549273021;3,21197411;0,954323002;0,889751553;0,660482375;13,31339031;3,436507937;2,377708978;1,672;50,46024465;0,43883792;1,279320988;3,039755352;0,993883792
Israel;;13,0;0,903;38;1,459214502;1,783987915;2,235114504;2,174242424;2,231950845;0,992492492;3,686900958;3,418269231;3,202614379;0,970724191;0,968181818;0,767479675;10,54304636;3,231481481;2,193353474;1,749576988;47,89189189;0,501501502;1,362406015;3,214714715;1
Italy;;10,2;0,88;18;1,489489489;1,208459215;2,363086233;2,271903323;2,378012048;0,993993994;3,445966514;3,347031963;3,048632219;0,976671851;0,895295903;0,660211268;12,72086721;2,993975904;2,064564565;1,61633282;56,92192192;0,42042042;0,963855422;3,279279279;1
Ivory Coast;98;5,2;0,492;134;1,378228782;1,353182752;1,443127962;1,744131455;1,794354839;0,933682373;3,746716698;3,505681818;3,239382239;0,904854369;0,96797153;0,334782609;2,710526316;2,488188976;1,645083933;2,299043062;39,52595156;0,628027682;0,486062718;3,235294118;0,996539792
Japan;99;12,8;0,909;29;1,242937853;1,436746988;2,1301059;2,047765794;2,111607143;0,951909477;2,868975904;2,703363914;2,354103343;0,923197492;0,345221113;0,24852071;15,175;3,03654485;2,044576523;2,116504854;60,00985915;0,487323944;1,175637394;3,005633803;1
Jordan;94;10,4;0,735;6;1,508547009;1,733846154;1,949903661;2,140822785;2,25;0,982954545;3,861070912;3,69984917;3,66367713;0,997101449;1;0,442278861;5,698630137;2,981818182;1,912972085;2,414012739;45,47801418;0,422695035;0,892045455;3,021276596;0,997163121
Kazakhstan;95;11,8;0,8;73;1,492207792;1,971506106;2,125560538;2,156748911;2,17251462;0,9625323;3,374655647;2,96328928;2,722058824;0,969740634;0,978205128;0,262857143;33,20769231;3,101398601;2,085714286;1,774086379;44,98356511;0,356510746;1,288607595;3,072060683;0,992414665
Kenya;82;6,5;0,59;36;1,555377207;1,766233766;1,82885906;1,882556131;1,940972222;0,912420382;3,870855148;3,585237258;3,624561404;0,973637961;0,998394864;0,482529118;5,146341463;2,892215569;1,847750865;1,879396985;36,96815287;0,423566879;0,701277955;2,972929936;0,992038217
Kosovo;;;;198;1,19047619;1,111111111;1,710391823;2,125611746;2,060358891;0,919939577;3,843492586;3,341337907;3,164644714;0,92192691;1;0,423853211;14,60267857;2,820359281;1,844408428;2,583497053;50,33936652;0,404223228;0,553544495;3,063348416;0,998491704
Kuwait;;7,3;0,803;137;1,515923567;;2,375;2,338797814;2,299618321;0,884858044;3,785330948;3,653211009;3,655677656;0,980322004;1;;;3,33974359;2,197339246;1,827338129;42,29310345;0,76645768;1,311708861;2,913793103;1
Kyrgyzstan;97;10,9;0,672;74;1,492443325;1,727748691;1,969432314;2,064171123;2,25498008;0,875784191;3,668613139;3,388973966;3,339969372;0,925705795;0,998762376;0,349529781;22,1588785;2,947565543;1,939106901;2,174311927;46,40617284;0,281481481;1,108641975;2,97037037;1
Laos;79;5,2;0,601;53;0,891768293;;2,007017544;2,080234834;2,037037037;0,592592593;3,848130841;3,742092457;3,708530806;0,918224299;1;0,25044405;10,54135338;3,10989011;2,100580271;1,609841828;42,9231738;0,438287154;0,475409836;3,122166247;1
Latvia;95;12,8;0,847;138;1,297368421;1,165467626;2,103789127;2,01875;2,063348416;0,980569948;3,266576455;2,68443804;2,530259366;0,973109244;0,747326203;0,545691906;36,50531915;3,013745704;2,010221465;1,68;55,94608472;0,297817715;1,093830334;2,897304236;0,825417202
Lebanon;;8,7;0,757;4;1,626245847;1,040677966;1,907775769;2,201022147;2,214659686;0,995024876;3,889816361;3,63697479;3,593277311;0,988235294;0,995008319;0,532846715;14,77580071;3,092307692;1,993067591;2,290265487;49,46102819;0,487562189;0,834162521;3,086235489;1
Liberia;92;4,7;0,435;140;1,03314121;1,897727273;1,846526656;2,15625;2,205564142;0,950481431;3,911465893;2,963181149;3,816860465;0,964809384;1;0,357963875;2,158878505;3,114427861;2,031595577;1,76124031;36,54246575;0,416438356;0,445054945;3,204109589;0,993150685
Libya;99;7,3;0,706;141;1,481171548;1,096296296;2,065989848;2,426470588;2,42278481;0,925;3,654545455;3,438095238;3,43387471;0,943693694;1;0,585812357;2,378486056;3,194690265;2,102756892;2,208920188;40,48125;0,577083333;1,440501044;3,122916667;1
Lithuania;96;13,0;0,858;143;1,520393812;1,287988423;2,258594918;2,220472441;2,198830409;0,890532544;3,298586572;3,091074681;2,912149533;0,954545455;0,953991881;0,295315682;30,3;3,073800738;2,042056075;1,987654321;56,80529801;0,345695364;1,198611111;3,115231788;0,985430464
Luxembourg;;12,1;0,904;144;1,904181185;2,057245081;2,229779412;2,36443662;2,466783217;0,977469671;3,473404255;3,252669039;2,883512545;0,965454545;0,806737589;0,700729927;19,29347826;3,1171875;2,133333333;1,81981982;52,13691508;0,49220104;1,426343154;2,954939341;0,994800693
Macedonia;;;;145;1,391534392;1,301369863;1,649847095;1,840310078;1,893118594;0,957309185;3,570644719;3,178002894;2,955686854;0,973901099;0,998721228;0,601785714;22,08562691;2,555023923;1,704892966;2,475490196;57,90792839;0,374680307;0,869398207;3,331202046;1
Madagascar;91;6,1;0,519;43;0,88;1,257918552;1,539898132;1,748333333;1,740797546;0,848133848;3,76443769;3,637071651;3,500777605;0,933846154;0,914698163;0,2765625;1,234285714;2,731707317;1,714991763;2,5453125;39,79177378;0,429305913;0,334193548;3,195372751;0,998714653
Malawi;92;4,5;0,477;44;0,743055556;1,83427762;1,901345291;1,935045317;1,986046512;0,908244681;3,93255132;3,843888071;3,840536513;0,985272459;0,998664887;0,237885463;3,075;3,112195122;1,94047619;1,994194485;38,99601594;0,285524568;0,345844504;3,103585657;0,993359894
Malaysia;;10,2;0,802;146;1,376221498;2,1664;1,953346856;1,90945674;1,919694073;0,727580372;3,680851064;3,491646778;3,623501199;0,983529412;1;0,26394052;6,936170213;3,067484663;1,977777778;1,715231788;49,03343023;0,426917511;0,908296943;2,916063676;0,995658466
Mali;77;2,3;0,427;61;1,03343465;1,717741935;2,022491349;2,171374765;2,177705977;0,843478261;3,806956522;3,682226212;3,254302103;0,925605536;0,99856528;0,169014085;9,703296703;3,211538462;2,030360531;2,030612245;41,29461756;0,54674221;0,29512894;3,134560907;1
Malta;;11,3;0,878;148;1,40625;2,077862595;2,303411131;2,25931677;2,30495356;0,923295455;3,756923077;3,390015601;3,3281493;0,950387597;0,975817923;0,746794872;24,02838428;3,433526012;2,300911854;1,846038864;54,59517045;0,438920455;1,066951567;2,991477273;0,998579545
